Water Control Zone,Station,Dates,Sample No,Depth,Volatile Suspended Solids mg_L,Unionised Ammonia mg_L,Turbidity NTU,Total Phosphorus mg_L,Total Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Inorganic Nitrogen mg_L,Temperature C,Suspended Solids mg_L,Silica mg_L,Secchi Disc Depth M,Salinity psu,Phaeo-pigments ug_L,pH,Orthophosphate Phosphorus mg_L,Nitrite Nitrogen mg_L,Nitrate Nitrogen mg_L,Faecal Coliforms cfu_100mL,E. coli cfu_100mL,Dissolved Oxygen mg_L,Dissolved Oxygen per_saturation,Chlorophyll-a ug_L,Ammonia Nitrogen mg_L,5-day Biochemical Oxygen Demand mg_L
Deep Bay,DM1,2022-06-13,1,Surface Water,6.5,0.024,46.7,0.29,3.37,2.1,2.47,28.0,40,8.9,1.1,0.5,13,7.5,0.12,0.17,1.1,6900,3700,4.9,63.0,45,1.2,3.1
Deep Bay,DM1,2022-07-15,1,Surface Water,4.3,0.019,20.2,0.22,1.84,0.8,1.13,32.4,25,4.4,1.0,5.8,29,8.5,0.12,0.094,0.95,88,31,8.7,123.0,14,0.088,3.6
Deep Bay,DM1,2022-08-12,1,Surface Water,1.6,0.008,12.7,0.18,2.49,1.4,2.29,27.8,9.4,8.4,1.0,9.8,3.7,7.0,0.14,0.14,0.95,24000,4900,6.5,88.0,3.5,1.2,1.2
Deep Bay,DM1,2022-09-14,1,Surface Water,7.4,0.003,288.5,0.32,1.61,0.62,1.27,31.2,58,1.7,1.1,17.8,12,7.0,0.14,0.13,0.86,440,120,5.8,86.0,9.7,0.28,1.7
Deep Bay,DM1,2022-10-13,1,Surface Water,3.9,0.005,274.1,0.29,2.36,0.77,1.92,24.6,31,7.6,0.9,17.5,5.3,7.5,0.18,0.19,1.4,1500,600,6.6,87.0,6.4,0.33,0.9
Deep Bay,DM1,2022-11-09,1,Surface Water,2.4,0.003,204.8,0.22,2.09,0.77,1.88,22.8,19,6.3,1.4,21.1,3.2,7.1,0.13,0.12,1.2,6700,2100,5.0,65.0,4.3,0.56,6
Deep Bay,DM1,2022-12-08,1,Surface Water,1.4,0.004,17.0,0.23,2.0,0.68,1.74,19.2,11,6.6,1.6,19.1,3.4,7.5,0.15,0.12,1.2,2200,1400,5.3,65.0,2.7,0.42,0.8
Deep Bay,DM2,2015-01-19,1,Surface Water,6.5,0.005,17.4,0.18,2.52,1.3,1.7,16.6,36,3.9,0.7,24.8,5.6,7.6,0.12,0.12,1.1,4600,3000,4.3,51.0,23,0.48,3.9
Deep Bay,DM2,2015-02-07,1,Surface Water,6.8,0.004,18.5,0.21,2.59,1.2,1.87,16.0,44,6,2.0,22.3,8.1,7.5,0.12,0.092,1.3,230,160,6.1,71.0,14,0.48,2.9
Deep Bay,DM2,2015-03-05,1,Surface Water,5.7,0.003,24.4,0.19,1.81,0.66,1.43,19.0,47,2.6,0.8,24.3,4,7.5,0.11,0.054,1.1,240,90,7.0,87.0,2.3,0.28,1.2
